"Games","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","Hand_OBP","Hand_SLG","Hand_BABIP","Hand_ISO","Hand_SBPerG","P_OPS","AL","SameTeam","weight","height","age","bats_right","bats_switch"
119,388,59,96,16,7,10,51,10,5,55,45,5,6,2,4,8,0.347,0.402,0.255,0.155,0.0840336134453782,1.113,0,1,170,67,25,0,0
139,492,97,137,20,5,20,53,8,4,56,65,1,8,4,3,4,0.36,0.461,0.285,0.183,0.0575539568345324,0.857,1,1,192,72,33,1,0
147,541,84,147,20,3,27,108,1,0,60,20,6,7,2,5,13,0.349,0.47,0.24,0.198,0.00680272108843537,1.083,1,1,185,67,30,0,0
24,20,1,2,0,0,0,2,0,0,0,8,0,0,3,0,1,0.1,0.1,0.167,0,0,0,0,1,175,72,24,1,0
45,78,6,16,1,1,1,6,0,0,8,15,0,0,1,2,3,0.273,0.282,0.234,0.077,0,0.333,1,1,182,73,36,0,0
123,446,81,142,20,1,32,107,2,3,56,41,9,6,5,9,14,0.395,0.583,0.288,0.265,0.016260162601626,0.926,0,1,190,69,34,1,0
135,510,73,131,19,11,7,47,3,3,44,51,6,1,8,7,11,0.313,0.378,0.27,0.122,0.0222222222222222,2,1,1,190,73,24,1,0
55,85,17,29,4,2,3,22,4,0,7,16,0,3,1,0,1,0.411,0.541,0.394,0.2,0.0727272727272727,0.438,1,1,200,72,30,1,0
43,96,12,22,5,0,0,8,0,2,11,11,0,2,3,0,3,0.321,0.281,0.259,0.052,0,0,1,1,165,72,31,1,0
105,278,40,65,9,1,13,45,0,2,44,32,2,2,3,3,7,0.339,0.414,0.22,0.18,0,1.111,1,1,185,72,33,0,0
42,74,12,15,3,0,1,11,0,0,0,12,0,0,0,2,1,0.197,0.284,0.222,0.081,0,0,0,1,165,70,29,1,0
39,86,9,14,0,0,1,7,0,0,11,16,0,0,3,0,1,0.258,0.198,0.188,0.035,0,0.143,1,1,178,70,27,0,0
140,523,83,164,24,3,26,95,4,5,43,43,5,7,1,4,15,0.371,0.52,0.301,0.207,0.0285714285714286,0.832,0,1,190,72,33,1,0
147,538,110,134,20,8,7,40,15,15,70,37,4,6,11,2,8,0.341,0.355,0.256,0.106,0.102040816326531,0.802,0,1,175,70,27,0,1
26,25,2,3,0,0,0,1,0,0,1,9,0,1,4,0,0,0.185,0.12,0.188,0,0,0,1,1,175,73,25,1,0
94,279,50,67,13,3,5,19,9,5,46,50,0,1,6,0,9,0.35,0.362,0.277,0.122,0.0957446808510638,0.933,0,1,170,73,27,1,0
150,546,75,158,24,5,27,102,2,1,80,91,3,3,3,10,16,0.377,0.5,0.299,0.211,0.0133333333333333,0.774,0,1,200,73,31,1,0
97,279,33,81,8,7,10,43,0,0,20,36,5,1,1,4,4,0.336,0.477,0.3,0.186,0,0.53,1,1,196,74,26,1,0
39,80,12,26,4,2,4,19,0,1,9,10,0,0,0,2,1,0.385,0.575,0.324,0.25,0,0.667,0,1,185,74,31,1,0
60,31,4,3,0,0,3,5,0,0,3,18,0,0,3,0,0,0.176,0.387,0,0.29,0,0,0,1,180,72,29,1,0
21,41,4,6,1,0,2,7,0,0,4,13,0,0,0,0,1,0.222,0.317,0.154,0.171,0,0,1,1,215,76,26,1,0
22,44,2,4,0,0,0,0,1,0,3,15,0,0,3,0,1,0.149,0.091,0.138,0,0.0454545454545455,0,0,1,165,73,26,1,0
147,517,121,158,25,11,37,99,8,1,113,97,6,3,2,3,4,0.431,0.611,0.313,0.306,0.054421768707483,0.7,1,1,195,71,24,0,1
20,70,8,21,2,0,1,9,1,2,7,9,1,0,1,2,2,0.354,0.371,0.323,0.071,0.05,0.786,1,1,165,71,27,1,0
141,533,79,152,10,8,13,53,6,4,65,77,2,2,8,7,6,0.361,0.407,0.309,0.122,0.0425531914893617,0.681,1,1,175,72,27,1,0
18,27,1,1,1,0,0,2,0,0,1,10,0,0,2,0,0,0.071,0.074,0.059,0.037,0,0,0,1,175,73,32,0,1
57,117,18,42,9,1,7,23,1,0,6,18,0,1,1,0,1,0.395,0.632,0.38,0.274,0.0175438596491228,0,0,1,220,76,29,0,0
132,371,49,94,19,1,8,59,5,2,43,33,5,3,0,6,6,0.331,0.375,0.256,0.121,0.0378787878787879,0.18,1,1,190,72,31,0,0
32,60,9,11,2,0,0,5,0,1,4,5,0,0,4,0,1,0.234,0.217,0.2,0.033,0,0.286,0,1,170,71,23,0,0
145,553,99,156,29,4,10,61,8,7,78,60,1,3,13,5,22,0.371,0.403,0.299,0.121,0.0551724137931034,0.7,0,1,160,70,37,1,0
81,143,19,37,4,1,1,9,7,1,22,18,1,3,13,0,2,0.369,0.322,0.29,0.063,0.0864197530864197,0.717,1,1,150,66,38,1,0
88,173,25,36,1,0,16,42,0,0,36,26,7,5,0,1,7,0.358,0.491,0.152,0.283,0,1.5,1,1,210,74,35,0,0
105,317,51,81,6,2,8,36,12,3,61,18,5,3,6,3,8,0.378,0.363,0.248,0.107,0.114285714285714,0.568,0,1,195,71,36,1,0
44,51,8,14,2,0,1,8,0,0,11,10,1,2,0,0,2,0.422,0.373,0.325,0.098,0,0,0,1,180,71,31,0,0
