"Games","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","Hand_OBP","Hand_SLG","Hand_BABIP","Hand_ISO","Hand_SBPerG","P_OPS","AL","SameTeam","weight","height","age","bats_right","bats_switch"
119,388,59,96,16,2.484906649788,10,51,2.70805020110221,2.30258509299405,55,45,2.30258509299405,2.39789527279837,1.94591014905531,4,8,0.347,0.402,0.255,0.155,0.0840336134453782,1.113,0,1,170,67,25,0,0
139,492,97,137,20,2.30258509299405,20,53,2.56494935746154,2.19722457733622,56,65,1.79175946922805,2.56494935746154,2.19722457733622,3,4,0.36,0.461,0.285,0.183,0.0575539568345324,0.857,1,1,192,72,33,1,0
147,541,84,147,20,2.07944154167984,27,108,1.79175946922805,1.6094379124341,60,20,2.39789527279837,2.484906649788,1.94591014905531,5,13,0.349,0.47,0.24,0.198,0.00680272108843537,1.083,1,1,185,67,30,0,0
123,446,81,142,20,1.79175946922805,32,107,1.94591014905531,2.07944154167984,56,41,2.63905732961526,2.39789527279837,2.30258509299405,9,14,0.395,0.583,0.288,0.265,0.016260162601626,0.926,0,1,190,69,34,1,0
55,85,17,29,4,1.94591014905531,3,22,2.19722457733622,1.6094379124341,7,16,1.6094379124341,2.07944154167984,1.79175946922805,0,1,0.411,0.541,0.394,0.2,0.0727272727272727,0.438,1,1,200,72,30,1,0
105,278,40,65,9,1.79175946922805,13,45,1.6094379124341,1.94591014905531,44,32,1.94591014905531,1.94591014905531,2.07944154167984,3,7,0.339,0.414,0.22,0.18,0,1.111,1,1,185,72,33,0,0
140,523,83,164,24,2.07944154167984,26,95,2.19722457733622,2.30258509299405,43,43,2.30258509299405,2.484906649788,1.79175946922805,4,15,0.371,0.52,0.301,0.207,0.0285714285714286,0.832,0,1,190,72,33,1,0
147,538,110,134,20,2.56494935746154,7,40,2.99573227355399,2.99573227355399,70,37,2.19722457733622,2.39789527279837,2.77258872223978,2,8,0.341,0.355,0.256,0.106,0.102040816326531,0.802,0,1,175,70,27,0,1
150,546,75,158,24,2.30258509299405,27,102,1.94591014905531,1.79175946922805,80,91,2.07944154167984,2.07944154167984,2.07944154167984,10,16,0.377,0.5,0.299,0.211,0.0133333333333333,0.774,0,1,200,73,31,1,0
97,279,33,81,8,2.484906649788,10,43,1.6094379124341,1.6094379124341,20,36,2.30258509299405,1.79175946922805,1.79175946922805,4,4,0.336,0.477,0.3,0.186,0,0.53,1,1,196,74,26,1,0
147,517,121,158,25,2.77258872223978,37,99,2.56494935746154,1.79175946922805,113,97,2.39789527279837,2.07944154167984,1.94591014905531,3,4,0.431,0.611,0.313,0.306,0.054421768707483,0.7,1,1,195,71,24,0,1
20,70,8,21,2,1.6094379124341,1,9,1.79175946922805,1.94591014905531,7,9,1.79175946922805,1.6094379124341,1.79175946922805,2,2,0.354,0.371,0.323,0.071,0.05,0.786,1,1,165,71,27,1,0
141,533,79,152,10,2.56494935746154,13,53,2.39789527279837,2.19722457733622,65,77,1.94591014905531,1.94591014905531,2.56494935746154,7,6,0.361,0.407,0.309,0.122,0.0425531914893617,0.681,1,1,175,72,27,1,0
132,371,49,94,19,1.79175946922805,8,59,2.30258509299405,1.94591014905531,43,33,2.30258509299405,2.07944154167984,1.6094379124341,6,6,0.331,0.375,0.256,0.121,0.0378787878787879,0.18,1,1,190,72,31,0,0
145,553,99,156,29,2.19722457733622,10,61,2.56494935746154,2.484906649788,78,60,1.79175946922805,2.07944154167984,2.89037175789616,5,22,0.371,0.403,0.299,0.121,0.0551724137931034,0.7,0,1,160,70,37,1,0
81,143,19,37,4,1.79175946922805,1,9,2.484906649788,1.79175946922805,22,18,1.79175946922805,2.07944154167984,2.89037175789616,0,2,0.369,0.322,0.29,0.063,0.0864197530864197,0.717,1,1,150,66,38,1,0
105,317,51,81,6,1.94591014905531,8,36,2.83321334405622,2.07944154167984,61,18,2.30258509299405,2.07944154167984,2.39789527279837,3,8,0.378,0.363,0.248,0.107,0.114285714285714,0.568,0,1,195,71,36,1,0
108,288,46,92,17,2.07944154167984,12,61,1.79175946922805,1.79175946922805,21,32,2.19722457733622,2.07944154167984,1.6094379124341,2,11,0.369,0.524,0.325,0.205,0.00925925925925926,1.083,1,1,195,71,25,1,0
148,538,126,166,34,2.39789527279837,42,136,2.63905732961526,2.484906649788,104,87,3.17805383034795,1.79175946922805,2.19722457733622,6,9,0.418,0.628,0.299,0.32,0.0608108108108108,1.21,0,1,179,72,29,0,0
114,292,53,76,11,2.56494935746154,16,58,2.07944154167984,2.19722457733622,59,51,2.39789527279837,1.79175946922805,2.56494935746154,1,4,0.385,0.517,0.265,0.257,0.0263157894736842,0.195,0,1,170,67,26,0,0
147,539,96,130,18,2.484906649788,26,84,2.19722457733622,1.94591014905531,59,72,2.07944154167984,1.94591014905531,2.484906649788,5,11,0.316,0.445,0.233,0.204,0.0272108843537415,0.656,1,1,192,72,34,1,0
140,521,93,155,29,1.94591014905531,30,105,2.07944154167984,1.94591014905531,65,29,2.484906649788,2.30258509299405,1.79175946922805,5,8,0.378,0.534,0.268,0.236,0.0214285714285714,1.248,1,1,185,67,31,0,0
124,388,39,85,6,1.79175946922805,20,73,1.79175946922805,1.6094379124341,66,61,2.99573227355399,1.79175946922805,2.19722457733622,2,20,0.333,0.394,0.21,0.175,0.00806451612903226,0.487,0,1,190,69,35,1,0
132,422,54,100,18,1.94591014905531,7,50,2.63905732961526,2.39789527279837,45,53,2.19722457733622,1.94591014905531,2.39789527279837,5,9,0.31,0.339,0.253,0.102,0.0681818181818182,0.358,1,1,190,73,25,1,0
100,262,38,59,5,2.07944154167984,7,43,2.07944154167984,1.79175946922805,34,33,1.94591014905531,1.79175946922805,1.79175946922805,3,5,0.313,0.347,0.231,0.122,0.03,0.638,1,1,185,72,34,0,0
149,523,66,151,30,1.6094379124341,21,83,1.79175946922805,1.79175946922805,57,41,2.99573227355399,1.79175946922805,1.94591014905531,4,27,0.357,0.467,0.28,0.178,0.00671140939597315,0.616,0,1,190,72,34,1,0
153,594,102,178,23,2.56494935746154,6,43,3.25809653802148,2.63905732961526,95,39,2.39789527279837,2.19722457733622,2.39789527279837,2,5,0.399,0.396,0.312,0.096,0.137254901960784,0.374,0,1,175,70,28,0,1
153,550,86,146,29,2.19722457733622,32,87,2.07944154167984,2.07944154167984,76,91,2.70805020110221,1.6094379124341,2.30258509299405,2,16,0.354,0.507,0.266,0.242,0.0196078431372549,0.929,0,1,200,73,32,1,0
150,533,132,188,22,2.30258509299405,52,130,2.70805020110221,1.79175946922805,112,99,2.39789527279837,1.94591014905531,1.79175946922805,4,4,0.464,0.705,0.352,0.353,0.0666666666666667,1.067,1,1,195,71,25,0,1
121,458,76,121,24,2.30258509299405,9,49,2.484906649788,2.07944154167984,30,56,1.6094379124341,2.07944154167984,2.56494935746154,5,8,0.31,0.397,0.281,0.133,0.0578512396694215,0.84,1,1,165,71,28,1,0
120,438,79,136,13,2.07944154167984,13,56,2.07944154167984,2.56494935746154,68,59,1.79175946922805,2.07944154167984,2.484906649788,2,5,0.405,0.443,0.334,0.132,0.025,0.383,1,1,175,72,28,1,0
147,572,85,147,19,1.94591014905531,9,46,2.89037175789616,2.19722457733622,56,69,1.79175946922805,1.79175946922805,2.99573227355399,4,14,0.322,0.344,0.277,0.087,0.0884353741496599,0.572,0,1,160,70,38,1,0
117,357,61,98,15,1.94591014905531,10,43,2.83321334405622,2.30258509299405,60,32,1.94591014905531,2.07944154167984,2.63905732961526,2,9,0.382,0.412,0.278,0.137,0.102564102564103,0.796,0,1,195,71,37,1,0
134,464,78,143,21,2.39789527279837,23,90,2.19722457733622,2.19722457733622,50,60,2.07944154167984,2.39789527279837,1.94591014905531,1,16,0.382,0.528,0.314,0.22,0.0298507462686567,0.5,1,1,195,71,26,1,0
24,83,15,24,4,1.94591014905531,0,4,1.79175946922805,1.79175946922805,5,6,1.6094379124341,1.6094379124341,1.79175946922805,0,0,0.33,0.386,0.312,0.096,0.0416666666666667,0.94,1,0,180,69,40,0,0
151,542,112,158,33,1.94591014905531,43,101,2.07944154167984,2.07944154167984,99,101,3.43398720448515,1.79175946922805,2.39789527279837,4,16,0.399,0.598,0.286,0.306,0.0198675496688742,0.912,0,1,179,72,30,0,0
151,615,118,198,27,2.39789527279837,44,132,1.79175946922805,1.79175946922805,57,58,2.99573227355399,1.6094379124341,1.6094379124341,3,13,0.378,0.6,0.298,0.278,0.00662251655629139,1.2,0,1,180,72,23,1,0
65,209,31,60,13,1.94591014905531,12,38,1.6094379124341,1.6094379124341,20,51,2.07944154167984,1.79175946922805,1.6094379124341,1,7,0.351,0.541,0.327,0.254,0,0.4,0,1,210,76,30,1,0
137,479,70,124,22,2.63905732961526,18,65,2.484906649788,1.94591014905531,42,64,2.19722457733622,2.19722457733622,2.39789527279837,4,8,0.321,0.455,0.264,0.196,0.0510948905109489,0.862,1,1,192,72,35,1,0
134,482,74,121,14,1.94591014905531,24,82,1.79175946922805,1.94591014905531,57,24,2.70805020110221,1.79175946922805,1.79175946922805,4,11,0.329,0.438,0.221,0.187,0.00746268656716418,0.894,1,1,185,67,32,0,0
72,157,23,42,7,1.94591014905531,2,12,1.79175946922805,1.79175946922805,20,21,1.6094379124341,1.79175946922805,1.94591014905531,0,7,0.354,0.376,0.299,0.108,0.0138888888888889,0.895,1,1,165,72,33,1,0
96,328,51,93,4,2.56494935746154,21,65,2.19722457733622,1.79175946922805,29,44,2.484906649788,1.94591014905531,2.30258509299405,7,5,0.339,0.537,0.267,0.253,0.0416666666666667,0.519,0,1,205,73,25,0,0
118,383,45,97,11,1.94591014905531,15,46,1.79175946922805,1.94591014905531,30,38,2.63905732961526,1.79175946922805,2.19722457733622,2,13,0.308,0.41,0.247,0.157,0.00847457627118644,0.618,0,1,180,73,27,1,0
41,134,26,54,12,1.6094379124341,7,27,1.79175946922805,2.07944154167984,18,15,2.19722457733622,1.79175946922805,1.94591014905531,0,1,0.477,0.649,0.42,0.246,0.024390243902439,0.368,0,1,190,72,27,0,0
